field_1,utility_name,date,time,latitude,longitude,material_at_origin,size,type,suspected_initiating_event,highlight,year
"2533",PG&E,2017/12/20 00:00:00,7:54,37.401153,-122.360618,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2017
"2535",PG&E,2017/09/06 00:00:00,19:26,40.8392,-122.3635,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2017
"2539",PG&E,2018/11/15 00:00:00,6:09,38.35990704,-122.3681787,Vegetation,< 0.25 Acres,Overhead,Equipment/ Facility Failure,False,2018
"2559",PG&E,2015/06/05 00:00:00,1:25,38.3460656,-122.3997898,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2015
"2571",PG&E,2018/06/15 00:00:00,2:56,37.486946,-122.422311,Vegetation,< 0.25 Acres,Overhead,Contamination,False,2018
"2577",PG&E,2015/06/09 00:00:00,16:20,38.38221999,-122.43156,Vegetation,< 0.25 Acres,Overhead,Unknown,False,2015
"2586",PG&E,2017/10/08 00:00:00,0:00,38.3289,-122.443,Vegetation,">5,000",Overhead,Vegetation,False,2017
"2587",PG&E,2014/08/15 00:00:00,11:01,40.5840531,-122.4446948,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2014
"2589",PG&E,2018/09/27 00:00:00,12:43,38.51481,-122.446259,Vegetation,.26 - 9.99 Acres,Overhead,Contact From Object,True,2018
"2599",PG&E,2018/07/02 00:00:00,5:12,38.60918,-122.45947,Vegetation,.26 - 9.99 Acres,Overhead,Contact From Object,True,2018
"2605",PG&E,2019/10/28 00:00:00,18:46,38.5646317,-122.46419,Vegetation,< 0.25 Acres,Overhead,Vegetation,False,2019
"2606",PG&E,2016/05/29 00:00:00,14:19,40.5795,-122.4694,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2016
"2615",PG&E,2019/09/24 00:00:00,13:13,38.491158,-122.479681,Bird Found,< 0.25 Acres,Overhead,Contact - Animal - Bird,False,2019
"2619",PG&E,2018/07/17 00:00:00,19:40,40.5927467,-122.48856,Vegetation,< 0.25 Acres,Overhead,Equipment/ Facility Failure,False,2018
"2621",PG&E,2016/07/16 00:00:00,20:26,38.49443,-122.494429,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2016
"2626",PG&E,2018/06/28 00:00:00,19:41,38.557465,-122.504253,Vegetation,< 0.25 Acres,Overhead,Equipment/ Facility Failure,False,2018
"2629",PG&E,2017/10/08 00:00:00,0:00,38.3949,-122.516,Vegetation,">5,000",Overhead,Vegetation,False,2017
"2632",PG&E,2018/02/07 00:00:00,5:44,40.65432,-122.5198,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2018
"2633",PG&E,2015/08/26 00:00:00,12:04,37.96382,-122.524322,Vegetation,< 0.25 Acres,Overhead,Unknown,False,2015
"2647",PG&E,2017/10/10 00:00:00,0:57,38.563,-122.546,Vegetation,< 0.25 Acres,Overhead,Equipment - PG&E,False,2017
"2654",PG&E,2018/11/11 00:00:00,4:18,38.434079,-122.552204,Vegetation,< 0.25 Acres,Overhead,Contact From Object,True,2018
"2655",PG&E,2018/08/04 00:00:00,7:22,37.975608,-122.553739,Building,Structure Only,Overhead,Equipment/ Facility Failure,False,2018
